acc                                                         
time,z_velocity @ 15934119,z_velocity @ 15935261,z_velocity @ 15937105,z_velocity @ 15939050,
    2.8400000930e-01,   -4.1739773750e+00,   -5.0174670219e+00,    1.0398472548e+00,    1.4916361868e-01,
    2.8700000048e-01,   -1.1581681967e+00,   -1.8789912462e+00,   -1.7446147203e+00,   -2.2398521900e+00,
    2.8900000453e-01,    1.8424720764e+00,    1.3585550785e+00,   -2.3505067825e+00,   -2.4491882324e+00,
    2.9199999571e-01,    7.0223336220e+00,    7.0109047890e+00,   -4.0595263243e-01,    1.0144376755e-01,
    2.9399999976e-01,    1.0332260132e+01,    1.0660866737e+01,    2.5258362293e+00,    3.3798272610e+00,
    2.9699999094e-01,    1.4278547287e+01,    1.5092994690e+01,    7.9143676758e+00,    9.1697969437e+00,
    2.9899999499e-01,    1.6016967773e+01,    1.7112377167e+01,    1.1182537079e+01,    1.2632270813e+01,
    3.0199998617e-01,    1.7522573471e+01,    1.8911172867e+01,    1.4872694969e+01,    1.6479827881e+01,
    3.0399999022e-01,    1.8021184921e+01,    1.9482574463e+01,    1.6431690216e+01,    1.8031610489e+01,
    3.0700001121e-01,    1.8177776337e+01,    1.9537359238e+01,    1.7140296936e+01,    1.8557497025e+01,
    3.0899998546e-01,    1.7843713760e+01,    1.9003671646e+01,    1.6432777405e+01,    1.7628868103e+01,
    3.1200000644e-01,    1.6712455750e+01,    1.7431848526e+01,    1.4126623154e+01,    1.4884808540e+01,
    3.1400001049e-01,    1.5726262093e+01,    1.6116256714e+01,    1.2363821030e+01,    1.2802464485e+01,
    3.1700000167e-01,    1.4410076141e+01,    1.4396974564e+01,    1.0073416710e+01,    1.0128010750e+01,
    3.1900000572e-01,    1.3975264549e+01,    1.3847979546e+01,    8.7803983688e+00,    8.7481040955e+00,
    3.2199999690e-01,    1.4233922958e+01,    1.4271496773e+01,    6.8541116714e+00,    7.0711030960e+00,
    3.2400000095e-01,    1.4933032990e+01,    1.5299016953e+01,    5.5955939293e+00,    6.2223677635e+00,
    3.2699999213e-01,    1.6129262924e+01,    1.7186403275e+01,    4.0858869553e+00,    5.5266833305e+00,
    3.2899999619e-01,    1.6396883011e+01,    1.7924444199e+01,    3.4774477482e+00,    5.4424653053e+00,
    3.3199998736e-01,    1.5034051895e+01,    1.7054908752e+01,    3.2335801125e+00,    5.6900281906e+00,
    3.3399999142e-01,    1.2664543152e+01,    1.4757198334e+01,    3.6470937729e+00,    6.1004004478e+00,
    3.3700001240e-01,    7.2376713753e+00,    8.9581861496e+00,    5.1351113319e+00,    6.9962458611e+00,
    3.3899998665e-01,    2.8919606209e+00,    4.0697484016e+00,    6.3304481506e+00,    7.4589328766e+00,
